descriptor_name,retained_descriptor_name,absolute_train_correlation,filter_reason
LabuteASA,SMR,0.9864112588008939,absolute_correlation_above_threshold
AMW,SMR,0.9663113620170097,absolute_correlation_above_threshold
ExactMW,SMR,0.9663945515287441,absolute_correlation_above_threshold
NumLipinskiHBA,TPSA,0.9666295161876273,absolute_correlation_above_threshold
NumLipinskiHBD,TPSA,0.8211795157104216,absolute_correlation_above_threshold
NumHBD,TPSA,0.8306927579418809,absolute_correlation_above_threshold
NumHBA,TPSA,0.9172275201712501,absolute_correlation_above_threshold
NumHeteroAtoms,TPSA,0.9084836637685617,absolute_correlation_above_threshold
NumHeavyAtoms,SMR,0.9838453258884705,absolute_correlation_above_threshold
NumAtoms,SMR,0.9630611391505981,absolute_correlation_above_threshold
NumAliphaticRings,NumSaturatedRings,0.8550342728375164,absolute_correlation_above_threshold
NumSaturatedCarbocycles,NumSaturatedRings,0.887339473748833,absolute_correlation_above_threshold
NumAliphaticCarbocycles,NumSaturatedRings,0.8427841979575212,absolute_correlation_above_threshold
Chi0v,SMR,0.9789023413796435,absolute_correlation_above_threshold
Chi1v,SMR,0.9393163854880837,absolute_correlation_above_threshold
Chi2v,SMR,0.8659339016413387,absolute_correlation_above_threshold
Chi3v,SMR,0.8319522151745555,absolute_correlation_above_threshold
Chi1n,SMR,0.945413011393609,absolute_correlation_above_threshold
Chi2n,SMR,0.966179225826278,absolute_correlation_above_threshold
Chi3n,SMR,0.927696625742512,absolute_correlation_above_threshold
Chi4n,SMR,0.8765257256568177,absolute_correlation_above_threshold
kappa2,SMR,0.8839670154475003,absolute_correlation_above_threshold
kappa3,NumRotatableBonds,0.9252747978348145,absolute_correlation_above_threshold
slogp_VSA5,SMR,0.8226224241901497,absolute_correlation_above_threshold
slogp_VSA6,NumAromaticCarbocycles,0.8238049690229601,absolute_correlation_above_threshold
smr_VSA1,SMR,0.8582018897107572,absolute_correlation_above_threshold
smr_VSA5,FractionCSP3,0.8150909270663101,absolute_correlation_above_threshold
smr_VSA7,NumAromaticCarbocycles,0.8609424893283638,absolute_correlation_above_threshold
MQN1,SMR,0.9686657457806553,absolute_correlation_above_threshold
MQN10,TPSA,0.8900137640667569,absolute_correlation_above_threshold
MQN12,SMR,0.9838453258884705,absolute_correlation_above_threshold
MQN13,SMR,0.8646097325838082,absolute_correlation_above_threshold
MQN14,slogp_VSA3,0.8007383618243691,absolute_correlation_above_threshold
MQN16,NumRings,0.9121418761567449,absolute_correlation_above_threshold
MQN17,NumAromaticRings,0.9630091790468353,absolute_correlation_above_threshold
MQN19,NumRotatableBonds,0.9267047073859139,absolute_correlation_above_threshold
MQN20,TPSA,0.9645201868714318,absolute_correlation_above_threshold
MQN21,TPSA,0.9666295161876273,absolute_correlation_above_threshold
MQN25,MQN24,1.0,absolute_correlation_above_threshold
MQN28,NumRotatableBonds,0.8339852283018349,absolute_correlation_above_threshold
MQN31,NumAromaticRings,0.8742071327841057,absolute_correlation_above_threshold
MQN32,NumSaturatedRings,0.9370775023574278,absolute_correlation_above_threshold
MQN42,MQN41,0.9535303105787344,absolute_correlation_above_threshold
