descriptor_name,train_mean,train_std
SlogP,3.647955854092529,2.1986079248201684
SMR,130.6467768090153,39.682067055530986
TPSA,118.63746737841043,53.47238941792947
NumRotatableBonds,7.657769869513642,5.215380871637773
NumAmideBonds,1.1091340450771057,1.495727274769637
NumStereocenters,1.377817319098458,2.188659757668255
NumUnspecifiedStereocenters,0.1631079478054567,0.5027476782320079
NumRings,4.1785290628707,1.5405285469858205
NumAromaticRings,2.755634638196916,1.2087368461778212
NumSaturatedRings,0.8511269276393831,1.19797002549788
NumAromaticHeterocycles,1.1565836298932384,0.9075477372776773
NumSaturatedHeterocycles,0.34519572953736655,0.5737930679449001
NumAliphaticHeterocycles,0.8380782918149466,0.8361619988345951
NumAromaticCarbocycles,1.5990510083036773,0.9403813118267655
FractionCSP3,0.32797281375155124,0.1905914912404507
Chi4v,3.2256873977213814,1.1935710341704175
HallKierAlpha,-3.412795057848438,1.106206462427066
kappa1,7.830149638911513,2.456691098670818
slogp_VSA1,12.639498351654574,9.116932442282572
slogp_VSA2,45.768187518068885,25.64200361083622
slogp_VSA3,17.392118436074934,12.322183234068257
slogp_VSA4,7.07230402709621,7.4209121148944694
slogp_VSA7,3.314147156316375,3.0072802303771367
slogp_VSA8,11.315238767149067,10.890132512029568
slogp_VSA10,7.462610440957628,6.358627939183
slogp_VSA11,4.488979572697618,5.721474023766235
slogp_VSA12,5.197199855915075,9.367654606891072
smr_VSA2,1.5997297669555322,1.9480564880721165
smr_VSA3,11.91487673548104,8.72612463948209
smr_VSA4,5.491272344126752,6.897239163746954
smr_VSA6,13.509031223850073,11.617357911670176
smr_VSA9,9.370487943704044,8.794268004964211
smr_VSA10,32.32215628725762,14.457205718340282
peoe_VSA1,17.949293992261165,10.07102030887139
peoe_VSA2,10.401262945478118,7.6229918026132015
peoe_VSA3,9.361130331481503,6.901865433754107
peoe_VSA4,4.216705064908769,5.792283165910527
peoe_VSA5,3.0226643336987236,4.943645937941092
peoe_VSA6,32.51644041550667,24.137878284272997
peoe_VSA7,46.57754881496435,21.54722957625225
peoe_VSA8,40.28093149853751,22.940508889814787
peoe_VSA9,32.6123887078343,13.343103791994086
peoe_VSA10,16.131135503306265,10.758107394001955
peoe_VSA11,7.3321943550756545,6.867263786179428
peoe_VSA12,7.143058783095065,7.974856379971303
peoe_VSA13,7.9485362732869,6.211052868400823
peoe_VSA14,4.510898488596464,7.3573482765420035
MQN2,0.4697508896797153,1.0349633076898588
MQN3,0.1737841043890866,0.4735477627844899
MQN4,0.03084223013048636,0.20433644602737341
MQN5,0.013641755634638196,0.16280139422707518
MQN6,0.6981020166073547,0.8256468496374331
MQN7,0.036773428232502965,0.2619844510268213
MQN8,1.2473309608540926,1.1725060581085336
MQN9,2.3801897983392646,1.4157431933791405
MQN11,0.3398576512455516,0.6794132411250704
MQN15,0.06702253855278767,0.25476066635086037
MQN24,0.020166073546856466,0.17445790210875842
MQN26,3.7930011862396205,2.0248687279328497
MQN27,1.6275207591933571,1.524042790575448
MQN29,4.738434163701068,3.9818426460327667
MQN30,1.4572953736654803,1.2045842809777143
MQN33,0.2117437722419929,0.5592994014553676
MQN34,0.042704626334519574,0.2108071632686105
MQN35,0.9145907473309609,0.878672117552104
MQN36,2.882562277580071,1.20219928233588
MQN37,0.04033214709371293,0.19673704532833677
MQN38,0.012455516014234875,0.11090706079891403
MQN39,0.0011862396204033216,0.034421395322768465
MQN40,0.07295373665480427,0.2690287111899379
MQN41,2.5118623962040334,2.5807553530344265
